"","gene_id","SYMBOL","coding_length","DESCRIPTION","GENEBIOTYPE","SEQCOORDSYSTEM","ENTREZID","WT_0H_DNA2","WT_120H_DNA2","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000041482","ENSMUSG00000041482","Piezo2",17162,"piezo-type mechanosensitive ion channel component 2 [Source:MGI Symbol;Acc:MGI:1918781]","protein_coding","chromosome","667742",4.43132330801886,49.4904575542974,3.42687185610692,8.83488252408584,769.42782250756,1.16845080367963e-13,1.05029121615753e-10
"ENSMUSG00000066113","ENSMUSG00000066113","Adamtsl1",12767,"ADAMTS-like 1 [Source:MGI Symbol;Acc:MGI:1924989]","protein_coding","chromosome","77739",1.25339880868957,38.130003204948,4.88035584356412,7.95326115282896,957.191839160071,1.59353579908325e-13,1.21523215375102e-10
"ENSMUSG00000045672","ENSMUSG00000045672","Col27a1",13022,"collagen, type XXVII, alpha 1 [Source:MGI Symbol;Acc:MGI:2672118]","protein_coding","chromosome","373864",1.89195621506418,21.4004248569624,3.4551632455046,7.23026718682066,735.409900767476,1.59599183685086e-13,1.21523215375102e-10
"ENSMUSG00000040711","ENSMUSG00000040711","Sh3pxd2b",9793,"SH3 and PX domains 2B [Source:MGI Symbol;Acc:MGI:2442062]","protein_coding","chromosome","268396",2.27189402301774,25.2715412882395,3.42258875942111,7.05422843200624,734.780558017109,1.60543811161655e-13,1.21523215375102e-10
"ENSMUSG00000053113","ENSMUSG00000053113","Socs3",2891,"suppressor of cytokine signaling 3 [Source:MGI Symbol;Acc:MGI:1201791]","protein_coding","chromosome","12702",3.18192468208808,42.9201719469053,3.70106668836953,6.0417995520937,724.236104693913,1.77360956901833e-13,1.27540264108108e-10
"ENSMUSG00000021281","ENSMUSG00000021281","Tnfaip2",4984,"tumor necrosis factor, alpha-induced protein 2 [Source:MGI Symbol;Acc:MGI:104960]","protein_coding","chromosome","21928",0.0614631984826541,7.70184275477044,6.86577494745734,4.26082759364463,715.566002534305,1.92707212934488e-13,1.31976911258277e-10
"ENSMUSG00000041773","ENSMUSG00000041773","Enc1",4737,"ectodermal-neural cortex 1 [Source:MGI Symbol;Acc:MGI:109610]","protein_coding","chromosome","13803",0.162931370484974,13.6067573905085,6.31272408772115,5.00611700389229,718.993990630734,2.18369898892284e-13,1.42754358448583e-10
"ENSMUSG00000031207","ENSMUSG00000031207","Msn",6327,"moesin [Source:MGI Symbol;Acc:MGI:97167]","protein_coding","chromosome","17698",6.89549224281851,157.628079537636,4.45881714792529,9.00023458987027,806.520481294348,2.84301621035504e-13,1.74580990548121e-10
"ENSMUSG00000002603","ENSMUSG00000002603","Tgfb1",5042,"transforming growth factor, beta 1 [Source:MGI Symbol;Acc:MGI:98725]","protein_coding","chromosome","21803",7.01782064169259,45.3161264204846,2.63936860235254,7.03017723457861,673.880697902903,2.91332483184183e-13,1.74580990548121e-10
"ENSMUSG00000022840","ENSMUSG00000022840","Adcy5",7184,"adenylate cyclase 5 [Source:MGI Symbol;Acc:MGI:99673]","protein_coding","chromosome","224129",4.50775263190666,40.1138316868599,3.10136635348666,7.31099091287301,666.253406532045,3.15069751137533e-13,1.812533264344e-10
"ENSMUSG00000022951","ENSMUSG00000022951","Rcan1",3085,"regulator of calcineurin 1 [Source:MGI Symbol;Acc:MGI:1890564]","protein_coding","chromosome","54720",41.718142294666,4.35205796252983,-3.31431632636218,6.18126541771234,644.4979019989,3.95891881922265e-13,2.18989117146385e-10
"ENSMUSG00000018819","ENSMUSG00000018819","Lsp1",5174,"lymphocyte specific 1 [Source:MGI Symbol;Acc:MGI:96832]","protein_coding","chromosome","16985",0.0941777916640114,9.23800694006006,6.52204747373084,4.5750863955748,638.24096658588,4.23356377068789e-13,2.20082694560507e-10
"ENSMUSG00000015222","ENSMUSG00000015222","Map2",16449,"microtubule-associated protein 2 [Source:MGI Symbol;Acc:MGI:97175]","protein_coding","chromosome","17756",12.5661510002712,2.41170402907313,-2.43091364437656,6.96773671339447,637.126344328877,4.28474165463372e-13,2.20082694560507e-10
"ENSMUSG00000039062","ENSMUSG00000039062","Anpep",4135,"alanyl (membrane) aminopeptidase [Source:MGI Symbol;Acc:MGI:5000466]","protein_coding","chromosome","16790",0.932141403993958,13.6733658819932,3.82449914007949,4.90213596994512,629.996633078487,4.62933121124118e-13,2.25067026053233e-10
"ENSMUSG00000030748","ENSMUSG00000030748","Il4ra",6002,"interleukin 4 receptor, alpha [Source:MGI Symbol;Acc:MGI:105367]","protein_coding","chromosome","16190",1.51243946884537,15.333028556966,3.28759299806403,5.64118026610573,628.711345589482,4.69476483214921e-13,2.25067026053233e-10
"ENSMUSG00000001750","ENSMUSG00000001750","Tcirg1",4603,"T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3 [Source:MGI Symbol;Acc:MGI:1350931]","protein_coding","chromosome","27060",1.41019632144038,14.1575161843829,3.27802071672763,5.1506917148888,618.475405489256,5.25531712172993e-13,2.43657721430788e-10
"ENSMUSG00000032035","ENSMUSG00000032035","Ets1",8476,"E26 avian leukemia oncogene 1, 5' domain [Source:MGI Symbol;Acc:MGI:95455]","protein_coding","chromosome","23871",0.129142736400996,6.52862464961384,5.58140729719069,4.79748968493826,615.680780690225,5.42139277276123e-13,2.43657721430788e-10
"ENSMUSG00000042254","ENSMUSG00000042254","Cilp",4252,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase [Source:MGI Symbol;Acc:MGI:2444507]","protein_coding","chromosome","214425",28.5117553943083,2.64404343071746,-3.48468196913242,6.08025497175803,611.782312554663,5.66318216192947e-13,2.46811775311726e-10
"ENSMUSG00000060402","ENSMUSG00000060402","Chst8",6634,"carbohydrate sulfotransferase 8 [Source:MGI Symbol;Acc:MGI:1916197]","protein_coding","chromosome","68947",0.0645451837760947,6.82592697978874,6.62770231794759,4.49536407197627,596.690722871951,6.7227874225212e-13,2.84373907972647e-10
"ENSMUSG00000048612","ENSMUSG00000048612","Myof",12603,"myoferlin [Source:MGI Symbol;Acc:MGI:1919192]","protein_coding","chromosome","226101",3.57944084869085,28.5642899247351,2.94615716192985,7.64711152038528,573.373903803968,8.83772064955368e-13,3.63154566805374e-10
"ENSMUSG00000075284","ENSMUSG00000075284","Wipf1",5896,"WAS/WASL interacting protein family, member 1 [Source:MGI Symbol;Acc:MGI:2178801]","protein_coding","chromosome","215280",0.124025704067653,5.62787801927201,5.42422903428338,4.06820939636961,553.174498969586,1.13013704692223e-12,4.41244949930563e-10
"ENSMUSG00000042834","ENSMUSG00000042834","Nrep",3908,"neuronal regeneration related protein [Source:MGI Symbol;Acc:MGI:99444]","protein_coding","chromosome","27528",65.2104797007433,10.20159444082,-2.73403385801257,7.22842787874067,552.815714633547,1.13517335192816e-12,4.41244949930563e-10
"ENSMUSG00000040690","ENSMUSG00000040690","Col16a1",6750,"collagen, type XVI, alpha 1 [Source:MGI Symbol;Acc:MGI:1095396]","protein_coding","chromosome","107581",3.22911102925497,49.5789302095856,3.88779337434775,7.45702307806622,703.063888133427,1.1885293324971e-12,4.49827075262454e-10
"ENSMUSG00000031647","ENSMUSG00000031647","Mfap3l",6837,"microfibrillar-associated protein 3-like [Source:MGI Symbol;Acc:MGI:1918556]","protein_coding","chromosome","71306",6.48610048031868,37.5025921075386,2.47993358831361,7.21872097160596,541.497999484196,1.30801909145553e-12,4.82357194187522e-10
"ENSMUSG00000056737","ENSMUSG00000056737","Capg",2529,"capping protein (actin filament), gelsolin-like [Source:MGI Symbol;Acc:MGI:1098259]","protein_coding","chromosome","12332",0.891757129879497,32.5527701093631,5.11937243800696,5.37825991157144,657.365500463407,1.36784828105793e-12,4.91809849454379e-10
"ENSMUSG00000036523","ENSMUSG00000036523","Greb1",9580,"gene regulated by estrogen in breast cancer protein [Source:MGI Symbol;Acc:MGI:2149712]","protein_coding","chromosome","268527",0.407890270257381,6.04947236786756,3.82026951981854,4.93074532990531,524.233259018697,1.63294519552086e-12,5.7280531224344e-10
"ENSMUSG00000020431","ENSMUSG00000020431","Adcy1",12522,"adenylate cyclase 1 [Source:MGI Symbol;Acc:MGI:99677]","protein_coding","chromosome","432530",7.57732136902393,1.47149074780002,-2.4156866174689,5.85032935558932,517.905530223124,1.77445525555693e-12,6.07624178224282e-10
"ENSMUSG00000028581","ENSMUSG00000028581","Laptm5",3788,"lysosomal-associated protein transmembrane 5 [Source:MGI Symbol;Acc:MGI:108046]","protein_coding","chromosome","16792",0.34702087742646,10.6346715953008,4.87676249224545,4.36671608835657,507.791185738442,2.03076781698588e-12,6.67592042818829e-10
"ENSMUSG00000058153","ENSMUSG00000058153","Sez6l",6070,"seizure related 6 homolog like [Source:MGI Symbol;Acc:MGI:1935121]","protein_coding","chromosome","56747",10.6495870068665,0.815668968293018,-3.75434786137974,5.15555612063086,507.366649281233,2.04241759727635e-12,6.67592042818829e-10
"ENSMUSG00000035673","ENSMUSG00000035673","Sbno2",10715,"strawberry notch 2 [Source:MGI Symbol;Acc:MGI:2448490]","protein_coding","chromosome","216161",1.97872509821309,13.6405039946551,2.74060503776833,6.37308057240461,494.843241529219,2.4230055028593e-12,7.633434978036e-10
"ENSMUSG00000031367","ENSMUSG00000031367","Ap1s2",4965,"adaptor-related protein complex 1, sigma 2 subunit [Source:MGI Symbol;Acc:MGI:1889383]","protein_coding","chromosome","108012",1.99037300451103,30.5691799668637,3.87725488909084,6.31170566187396,639.568341296571,2.44151028361602e-12,7.633434978036e-10
"ENSMUSG00000041936","ENSMUSG00000041936","Agrn",9285,"agrin [Source:MGI Symbol;Acc:MGI:87961]","protein_coding","chromosome","11603",5.61329735854205,34.6940035533231,2.57444391226559,7.5301028076217,490.13755094119,2.58650173351312e-12,7.89267726609319e-10
"ENSMUSG00000040254","ENSMUSG00000040254","Sema3d",8595,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D [Source:MGI Symbol;Acc:MGI:1860118]","protein_coding","chromosome","108151",10.9233049351667,1.7492643167693,-2.69728441401967,5.7959822548135,488.828910520743,2.63418515347291e-12,7.89267726609319e-10
"ENSMUSG00000024593","ENSMUSG00000024593","Megf10",7718,"multiple EGF-like-domains 10 [Source:MGI Symbol;Acc:MGI:2685177]","protein_coding","chromosome","70417",0.477218914811531,7.84283678930882,3.97934109129622,4.99052851071971,478.018870441062,3.06890598848039e-12,8.78811159381837e-10
"ENSMUSG00000052353","ENSMUSG00000052353","Cemip",12232,"cell migration inducing protein, hyaluronan binding [Source:MGI Symbol;Acc:MGI:2443629]","protein_coding","chromosome","80982",0.279917220508931,3.86313951317935,3.74034779111308,4.65346138883237,475.844726106388,3.16593328868173e-12,8.78811159381837e-10
"ENSMUSG00000027351","ENSMUSG00000027351","Spred1",6784,"sprouty protein with EVH-1 domain 1, related sequence [Source:MGI Symbol;Acc:MGI:2150016]","protein_coding","chromosome","114715",5.42721061562583,24.6189269855243,2.13294126654789,6.66050736400102,474.608597804668,3.22265979545936e-12,8.78811159381837e-10
"ENSMUSG00000033685","ENSMUSG00000033685","Ucp2",6989,"uncoupling protein 2 (mitochondrial, proton carrier) [Source:MGI Symbol;Acc:MGI:109354]","protein_coding","chromosome","22228",1.06736903850793,8.52345713861783,2.94453000270388,5.05304308909402,472.660339924509,3.31444028227041e-12,8.78811159381837e-10
"ENSMUSG00000030774","ENSMUSG00000030774","Pak1",3943,"p21 (RAC1) activated kinase 1 [Source:MGI Symbol;Acc:MGI:1339975]","protein_coding","chromosome","18479",0.342111456437473,12.3159072544692,5.1061802329439,4.6239658830276,483.071690741636,3.35859188621069e-12,8.78811159381837e-10
"ENSMUSG00000022756","ENSMUSG00000022756","Slc7a4",4153,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 4 [Source:MGI Symbol;Acc:MGI:2146512]","protein_coding","chromosome","224022",11.5294816871862,1.01987098361962,-3.55021519642237,4.74570637159638,470.404694986185,3.42445425194582e-12,8.78811159381837e-10
"ENSMUSG00000046743","ENSMUSG00000046743","Fat4",17165,"FAT atypical cadherin 4 [Source:MGI Symbol;Acc:MGI:3045256]","protein_coding","chromosome","329628",31.9022429114998,7.14719739775455,-2.20899791665279,8.40984528076633,470.306892787442,3.42931787827328e-12,8.78811159381837e-10
"ENSMUSG00000070802","ENSMUSG00000070802","Pnmal2",4147,"PNMA-like 2 [Source:MGI Symbol;Acc:MGI:3645856]","protein_coding","chromosome","434128",27.3432951756459,6.25505499928652,-2.18024301999052,6.147895690962,467.87434076098,3.55286392578692e-12,8.78811159381837e-10
"ENSMUSG00000039153","ENSMUSG00000039153","Runx2",8837,"runt related transcription factor 2 [Source:MGI Symbol;Acc:MGI:99829]","protein_coding","chromosome","12393",0.174525663681998,4.5104147021983,4.63057755547089,4.35385426968752,467.787602146933,3.55736226075402e-12,8.78811159381837e-10
"ENSMUSG00000032911","ENSMUSG00000032911","Cspg4",11931,"chondroitin sulfate proteoglycan 4 [Source:MGI Symbol;Acc:MGI:2153093]","protein_coding","chromosome","121021",0.0798849021891354,3.51030332429457,5.37883225624463,4.3964223773365,467.339788876867,3.58068999393091e-12,8.78811159381837e-10
"ENSMUSG00000073802","ENSMUSG00000073802","Cdkn2b",1390,"cyclin dependent kinase inhibitor 2B [Source:MGI Symbol;Acc:MGI:104737]","protein_coding","chromosome","12579",2.87452256048563,34.6696625378576,3.53838724366093,4.69122490201696,466.87302570212,3.60519110023143e-12,8.78811159381837e-10
"ENSMUSG00000040990","ENSMUSG00000040990","Sh3kbp1",10100,"SH3-domain kinase binding protein 1 [Source:MGI Symbol;Acc:MGI:1889583]","protein_coding","chromosome","58194",0.817995396845587,8.36049652362358,3.29344049590261,5.51448049823715,452.516605453372,4.46121759888439e-12,1.0389797435151e-09
"ENSMUSG00000078949","ENSMUSG00000078949","R3hdml",1094,"R3H domain containing-like [Source:MGI Symbol;Acc:MGI:3650937]","protein_coding","chromosome","100043899",385.232199742355,47.0171203483545,-3.08649871665932,7.90759493165704,502.872770053666,4.47461159237767e-12,1.0389797435151e-09
"ENSMUSG00000032440","ENSMUSG00000032440","Tgfbr2",8187,"transforming growth factor, beta receptor II [Source:MGI Symbol;Acc:MGI:98729]","protein_coding","chromosome","21813",0.638349070927691,6.77463321071768,3.35069082259667,4.90585167201296,452.252903461053,4.47898373647172e-12,1.0389797435151e-09
"ENSMUSG00000073421","ENSMUSG00000073421","H2-Ab1",2568,"histocompatibility 2, class II antigen A, beta 1 [Source:MGI Symbol;Acc:MGI:103070]","protein_coding","chromosome","14961",0.852717319028086,19.2520018396997,4.450940858138,4.68078687260263,448.903993042091,4.71178521811024e-12,1.07563325407717e-09
"ENSMUSG00000026640","ENSMUSG00000026640","Plxna2",17174,"plexin A2 [Source:MGI Symbol;Acc:MGI:107684]","protein_coding","chromosome","18845",0.499324401820802,4.72520756346243,3.18460598646925,5.46766458436383,447.187176771008,4.83647301988045e-12,1.08684617143626e-09
"ENSMUSG00000021998","ENSMUSG00000021998","Lcp1",9504,"lymphocyte cytosolic protein 1 [Source:MGI Symbol;Acc:MGI:104808]","protein_coding","chromosome","18826",0.0871458717174975,5.17207355295394,5.82708359909033,4.63215074791685,506.666219850196,4.93372648406858e-12,1.09164391221345e-09
"ENSMUSG00000036585","ENSMUSG00000036585","Fgf1",5463,"fibroblast growth factor 1 [Source:MGI Symbol;Acc:MGI:95515]","protein_coding","chromosome","14164",9.82853945689068,1.08841565697676,-3.22759445619244,4.93568881522393,444.318412059241,5.05333294133639e-12,1.10116718730757e-09
"ENSMUSG00000026395","ENSMUSG00000026395","Ptprc",18313,"protein tyrosine phosphatase, receptor type, C [Source:MGI Symbol;Acc:MGI:97810]","protein_coding","chromosome","19264",0.0518066008711012,1.75695982069757,5.0171400604542,4.03738345286766,441.782642413505,5.25430938399691e-12,1.10125644852117e-09
"ENSMUSG00000029516","ENSMUSG00000029516","Cit",16417,"citron [Source:MGI Symbol;Acc:MGI:105313]","protein_coding","chromosome","12704",0.734388433778703,4.17508571450812,2.45287064275562,5.31944071381708,440.927325558834,5.32414715492757e-12,1.10125644852117e-09
"ENSMUSG00000015090","ENSMUSG00000015090","Ptgds",1649,"prostaglandin D2 synthase (brain) [Source:MGI Symbol;Acc:MGI:99261]","protein_coding","chromosome","19215",212.586528824337,42.3344734326475,-2.38186992672009,7.73628131408909,440.892329439018,5.32702713973992e-12,1.10125644852117e-09
"ENSMUSG00000034485","ENSMUSG00000034485","Uaca",5807,"uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:MGI Symbol;Acc:MGI:1919815]","protein_coding","chromosome","72565",49.7770773432041,13.879172781445,-1.89524005278398,7.5501982395795,440.492831940636,5.36002999558349e-12,1.10125644852117e-09
"ENSMUSG00000045294","ENSMUSG00000045294","Insig1",3093,"insulin induced gene 1 [Source:MGI Symbol;Acc:MGI:1916289]","protein_coding","chromosome","231070",43.6626434045311,6.81039819588147,-2.73721060704818,6.31490486372961,439.492080082061,5.44373360562519e-12,1.10270108050847e-09
"ENSMUSG00000030681","ENSMUSG00000030681","Mvp",7627,"major vault protein [Source:MGI Symbol;Acc:MGI:1925638]","protein_coding","chromosome","78388",3.38020163031842,19.0541272923998,2.44460940829563,6.40880676851,429.441276888649,6.3726734076856e-12,1.2729415131852e-09
"ENSMUSG00000074813","ENSMUSG00000074813","Morrbid",4070,"myeloid RNA regulator of BCL2L11 induced cell death [Source:MGI Symbol;Acc:MGI:3652191]","lncRNA","chromosome","100043424",0.189228855036929,6.84262788441902,5.10303277864069,3.82367340050942,425.983944596758,6.73315411853911e-12,1.32652359634013e-09
"ENSMUSG00000033763","ENSMUSG00000033763","Mtss2",5311,"MTSS I-BAR domain containing 2 [Source:MGI Symbol;Acc:MGI:3039591]","protein_coding","chromosome","244654",36.7907267925271,9.97036902524107,-1.93762236087725,6.97740152006677,423.873575518958,6.96462869931322e-12,1.35358499937193e-09
"ENSMUSG00000071713","ENSMUSG00000071713","Csf2rb",7277,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339759]","protein_coding","chromosome","12983",0.0126620516549594,5.78444041262842,8.61772471079806,4.38830943438081,510.138752213157,7.34793408701752e-12,1.38998536370882e-09
"ENSMUSG00000021127","ENSMUSG00000021127","Zfp36l1",2990,"zinc finger protein 36, C3H type-like 1 [Source:MGI Symbol;Acc:MGI:107946]","protein_coding","chromosome","12192",2.36194682892912,22.2495342046633,3.17770335988135,5.18579051776836,419.610526362101,7.46051127131718e-12,1.38998536370882e-09
"ENSMUSG00000025372","ENSMUSG00000025372","Baiap2",4992,"brain-specific angiogenesis inhibitor 1-associated protein 2 [Source:MGI Symbol;Acc:MGI:2137336]","protein_coding","chromosome","108100",1.26285483988783,9.61737177712137,2.87581609070893,4.75239130416073,419.562477359692,7.46632582582166e-12,1.38998536370882e-09
"ENSMUSG00000052727","ENSMUSG00000052727","Map1b",15846,"microtubule-associated protein 1B [Source:MGI Symbol;Acc:MGI:1306778]","protein_coding","chromosome","17755",20.4337689150082,100.575224353508,2.24815674799265,9.8911009487196,418.969509631502,7.53851052491224e-12,1.38998536370882e-09
"ENSMUSG00000034595","ENSMUSG00000034595","Ppp1r18",4317,"protein phosphatase 1, regulatory subunit 18 [Source:MGI Symbol;Acc:MGI:1923698]","protein_coding","chromosome","76448",0.842968058869317,19.9107400449397,4.49123014310946,5.46186575362498,550.822176297514,8.59408948834042e-12,1.56455943064952e-09
"ENSMUSG00000022894","ENSMUSG00000022894","Adamts5",10791,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2) [Source:MGI Symbol;Acc:MGI:1346321]","protein_coding","chromosome","23794",7.04095588649576,1.35277799980838,-2.43251243486524,5.53117263629907,407.574608385389,9.09323415204217e-12,1.62761380251588e-09
"ENSMUSG00000027381","ENSMUSG00000027381","Bcl2l11",8029,"BCL2-like 11 (apoptosis facilitator) [Source:MGI Symbol;Acc:MGI:1197519]","protein_coding","chromosome","12125",3.21025789850543,14.2538512387439,2.10032001683124,6.12011460667005,407.091822087063,9.16678612180406e-12,1.62761380251588e-09
"ENSMUSG00000027864","ENSMUSG00000027864","Ptgfrn",10464,"prostaglandin F2 receptor negative regulator [Source:MGI Symbol;Acc:MGI:1277114]","protein_coding","chromosome","19221",8.19790527847266,32.5448001958834,1.94012843988541,7.72659520458564,402.540262753912,9.89466234492588e-12,1.73542724200883e-09
"ENSMUSG00000025427","ENSMUSG00000025427","Rnf165",10149,"ring finger protein 165 [Source:MGI Symbol;Acc:MGI:2444521]","protein_coding","chromosome","225743",3.95498007794529,0.374753673980126,-3.45241543331055,4.50135691234167,399.759988116528,1.03717078015294e-11,1.79717953736863e-09
"ENSMUSG00000038135","ENSMUSG00000038135","Crygn",802,"crystallin, gamma N [Source:MGI Symbol;Acc:MGI:2449167]","protein_coding","chromosome","214301",122.301548178251,3.1919282890949,-5.32090174679179,5.69636996538668,644.568333942682,1.15681245884086e-11,1.94521532142185e-09
"ENSMUSG00000026305","ENSMUSG00000026305","Lrrfip1",6469,"leucine rich repeat (in FLII) interacting protein 1 [Source:MGI Symbol;Acc:MGI:1342770]","protein_coding","chromosome","16978",6.12797336392105,33.5785083417375,2.40203787238834,6.99095148811901,393.137453503371,1.16176944415346e-11,1.94521532142185e-09
"ENSMUSG00000027656","ENSMUSG00000027656","Ccn5",1924,"cellular communication network factor 5 [Source:MGI Symbol;Acc:MGI:1328326]","protein_coding","chromosome","22403",2.09319236542503,23.3979201399236,3.42208409101591,4.59900096931817,393.067208102026,1.1631797916999e-11,1.94521532142185e-09
"ENSMUSG00000035279","ENSMUSG00000035279","Ssc5d",4590,"scavenger receptor cysteine rich family, 5 domains [Source:MGI Symbol;Acc:MGI:3606211]","protein_coding","chromosome","269855",2.79507204700312,18.0562115146941,2.63220903952156,5.56268463117059,392.112698315222,1.18253909252982e-11,1.94791993489716e-09
"ENSMUSG00000030403","ENSMUSG00000030403","Vasp",2617,"vasodilator-stimulated phosphoprotein [Source:MGI Symbol;Acc:MGI:109268]","protein_coding","chromosome","22323",9.08836427454872,40.5141857664255,2.10312155520092,6.0071188949158,390.642139288569,1.21308984288545e-11,1.94791993489716e-09
"ENSMUSG00000039911","ENSMUSG00000039911","Spsb1",4396,"splA/ryanodine receptor domain and SOCS box containing 1 [Source:MGI Symbol;Acc:MGI:1921896]","protein_coding","chromosome","74646",4.50859290615331,22.6093303766634,2.27517088531647,5.88680660548905,390.521921693226,1.21562697190203e-11,1.94791993489716e-09
"ENSMUSG00000022797","ENSMUSG00000022797","Tfrc",6185,"transferrin receptor [Source:MGI Symbol;Acc:MGI:98822]","protein_coding","chromosome","22042",17.06757653289,4.19072459053864,-2.08054276357264,6.06278752763594,389.96863284592,1.22738227881364e-11,1.94791993489716e-09
"ENSMUSG00000033788","ENSMUSG00000033788","Dysf",8328,"dysferlin [Source:MGI Symbol;Acc:MGI:1349385]","protein_coding","chromosome","26903",0.0848272863450214,8.66821535340525,6.5950953034309,5.16448676982487,614.787774304526,1.23251782836631e-11,1.94791993489716e-09
