gene_id	coding_length	SYMBOL	DESCRIPTION	Var
ENSMUSG00000000142	5506	Axin2	axin 2 [Source:MGI Symbol;Acc:MGI:1270862]	87093.0144927536
ENSMUSG00000000148	6179	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]	5569.55797101449
ENSMUSG00000000149	3416	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]	101610.346014493
ENSMUSG00000000154	1699	Slc22a18	solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]	1566.41847826087
ENSMUSG00000000167	2813	Pih1d2	PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]	266.31884057971
ENSMUSG00000000168	4886	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]	53070.7826086957
ENSMUSG00000000171	1231	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]	87582.9492753623
ENSMUSG00000000184	9409	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]	3473576.05797101
ENSMUSG00000000194	12766	Gpr107	G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]	53724.8242753623
ENSMUSG00000000197	14715	Nalcn	sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]	2439.9347826087
ENSMUSG00000000202	3187	Btbd17	BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]	586.69384057971
ENSMUSG00000000204	3964	Slfn4	schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010]	1157647.17210145
ENSMUSG00000000223	8553	Drp2	dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]	5079.23913043478
ENSMUSG00000000247	4393	Lhx2	LIM homeobox protein 2 [Source:MGI Symbol;Acc:MGI:96785]	61327.3043478261
ENSMUSG00000000253	2323	Gmpr	guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]	2258.08514492754
ENSMUSG00000000263	2414	Glra1	glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]	551.471014492754
ENSMUSG00000000266	8114	Mid2	midline 2 [Source:MGI Symbol;Acc:MGI:1344333]	30247.6503623188
ENSMUSG00000000275	5754	Trim25	tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]	77935.5362318841
ENSMUSG00000000276	8387	Dgke	diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]	72079.9927536232
ENSMUSG00000000278	2097	Scpep1	serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]	46324.2155797101
ENSMUSG00000000282	4627	Mnt	max binding protein [Source:MGI Symbol;Acc:MGI:109150]	76448.7373188406
ENSMUSG00000000290	3052	Itgb2	integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]	79060.9981884058
ENSMUSG00000000295	3508	Hddc2	HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]	1979.34601449275
ENSMUSG00000000296	1323	Tpd52l1	tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]	4809.99275362319
ENSMUSG00000000301	2104	Pemt	phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]	302.954710144928
ENSMUSG00000000303	4574	Cdh1	cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]	8791100.89673913
ENSMUSG00000000305	7257	Cdh4	cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]	171489.259057971
ENSMUSG00000000308	2496	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]	6616.98369565217
ENSMUSG00000000317	3719	Bcl6b	B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]	62.0851449275362
ENSMUSG00000000318	2899	Clec10a	C-type lectin domain family 10, member A [Source:MGI Symbol;Acc:MGI:96975]	56.0579710144928
ENSMUSG00000000320	4085	Alox12	arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998]	5834.40579710145
ENSMUSG00000000325	6715	Arvcf	armadillo repeat gene deleted in velocardiofacial syndrome [Source:MGI Symbol;Acc:MGI:109620]	8457600.34057971
ENSMUSG00000000326	2532	Comt	catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]	41925.5634057971
ENSMUSG00000000339	1880	Rtca	RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]	12952.2155797101
ENSMUSG00000000340	3348	Dbt	dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]	7274.14492753623
ENSMUSG00000000346	2900	Dazap2	DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]	167835.041666667
ENSMUSG00000000355	1571	Mcts1	malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]	936.144927536232
ENSMUSG00000000374	8128	Trappc10	trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]	85505.8677536232
ENSMUSG00000000378	3666	Ccm2	cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]	12011.731884058
ENSMUSG00000000384	3696	Tbrg4	transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]	19691.6938405797
ENSMUSG00000000386	3785	Mx1	MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243]	609.128623188406
ENSMUSG00000000392	5662	Fap	fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608]	168.978260869565
ENSMUSG00000000394	1494	Gcg	glucagon [Source:MGI Symbol;Acc:MGI:95674]	17814.6666666667
ENSMUSG00000000399	2101	Ndufa9	NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358]	27310.2155797101
ENSMUSG00000000402	2704	Egfl6	EGF-like-domain, multiple 6 [Source:MGI Symbol;Acc:MGI:1858599]	367.652173913043
ENSMUSG00000000409	2929	Lck	lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]	194.666666666667
ENSMUSG00000000416	8829	Cttnbp2	cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467]	41383.6231884058
ENSMUSG00000000420	5519	Galnt1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]	110629.824275362
ENSMUSG00000000439	7005	Mkrn2	makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]	21581.3315217391
ENSMUSG00000000441	6845	Raf1	v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]	141720.869565217
ENSMUSG00000000486	2763	Sept1	septin 1 [Source:MGI Symbol;Acc:MGI:1858916]	249.302536231884
ENSMUSG00000000489	4161	Pdgfb	platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]	85907.2445652174
ENSMUSG00000000530	4265	Acvrl1	activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]	455.940217391304
ENSMUSG00000000531	2033	Grasp	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:MGI Symbol;Acc:MGI:1860303]	610.085144927536
ENSMUSG00000000532	4418	Acvr1b	activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]	50545.259057971
ENSMUSG00000000538	8764	Tom1l2	target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]	110880.346014493
ENSMUSG00000000552	2515	Zfp385a	zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]	452271.384057971
ENSMUSG00000000555	4933	Itga5	integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]	5012609.30253623
ENSMUSG00000000560	7640	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]	735.652173913043
ENSMUSG00000000561	4841	Wdr77	WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715]	11770.4329710145
ENSMUSG00000000563	4105	Atp5f1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1 [Source:MGI Symbol;Acc:MGI:1100495]	164447.548913043
ENSMUSG00000000567	4135	Sox9	SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]	21971573.1721014
ENSMUSG00000000568	7354	Hnrnpd	heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]	814265.867753623
ENSMUSG00000000579	3777	Dynlt1c	dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]	1988.60688405797
ENSMUSG00000000581	3995	C1d	C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]	2864.92753623188
ENSMUSG00000000594	4127	Gm2a	GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]	167671.275362319
ENSMUSG00000000600	21853	Krit1	KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]	43966.3460144928
ENSMUSG00000000605	8575	Clcn4	chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]	75154.9112318841
ENSMUSG00000000617	5421	Grm6	glutamate receptor, metabotropic 6 [Source:MGI Symbol;Acc:MGI:1351343]	8888.51449275362
ENSMUSG00000000627	5290	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]	377.940217391304
ENSMUSG00000000628	5969	Hk2	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]	8746340.75362319
ENSMUSG00000000631	16037	Myo18a	myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]	6291562.21557971
ENSMUSG00000000632	5779	Sez6	seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]	10279.5869565217
ENSMUSG00000000682	1187	Cd52	CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]	5451.60688405797
ENSMUSG00000000686	3035	Abhd15	abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727]	41.8967391304348
ENSMUSG00000000693	4603	Loxl3	lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]	143423.983695652
ENSMUSG00000000708	4867	Kat2b	K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]	123211.884057971
ENSMUSG00000000711	4201	Rab5b	RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]	62935.731884058
ENSMUSG00000000724	1594	Cryba1	crystallin, beta A1 [Source:MGI Symbol;Acc:MGI:88518]	2950605711.99275
ENSMUSG00000000732	4620	Icosl	icos ligand [Source:MGI Symbol;Acc:MGI:1354701]	847.81884057971
ENSMUSG00000000738	4518	Spg7	SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]	409229.043478261
ENSMUSG00000000739	4419	Sult5a1	sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]	125.41847826087
ENSMUSG00000000740	2595	Rpl13	ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]	4834437.5634058
ENSMUSG00000000743	3272	Chmp1a	charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]	24576.3460144928
ENSMUSG00000000751	5578	Rpa1	replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]	199220.086956522
ENSMUSG00000000753	2359	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]	170758.31884058
ENSMUSG00000000759	8568	Tubgcp3	tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]	29761.4710144928
ENSMUSG00000000776	2854	Polr3d	polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315]	140865.89673913
ENSMUSG00000000782	3019	Tcf7	transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]	33004.8695652174
ENSMUSG00000000787	5277	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]	11200525.4492754
ENSMUSG00000000792	2928	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5 [Source:MGI Symbol;Acc:MGI:2149330]	11316.5199275362
ENSMUSG00000000794	10451	Kcnn3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:MGI Symbol;Acc:MGI:2153183]	5138.25905797101
ENSMUSG00000000804	7680	Usp32	ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]	104945.650362319
ENSMUSG00000000805	1966	Car4	carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]	1662.38949275362
ENSMUSG00000000811	2836	Txnrd3	thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]	8559.12862318841
ENSMUSG00000000823	6810	Zfp512b	zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]	59347.375
ENSMUSG00000000826	6953	Dnajc5	DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]	299215.940217391
ENSMUSG00000000827	4982	Tpd52l2	tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]	35131.3894927536
ENSMUSG00000000838	8966	Fmr1	fragile X mental retardation 1 [Source:MGI Symbol;Acc:MGI:95564]	202593.710144928
ENSMUSG00000000861	13175	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]	509.297101449275
ENSMUSG00000000876	3114	Pxmp4	peroxisomal membrane protein 4 [Source:MGI Symbol;Acc:MGI:1891701]	4333.04347826087
ENSMUSG00000000881	5844	Dlg3	discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]	162058.31884058
ENSMUSG00000000884	4219	Gnb1l	guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]	554.666666666667
ENSMUSG00000000901	2778	Mmp11	matrix metallopeptidase 11 [Source:MGI Symbol;Acc:MGI:97008]	1229.43297101449
ENSMUSG00000000902	7930	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:1328366]	115497.449275362
ENSMUSG00000000915	7369	Hip1r	huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]	127083.722826087
ENSMUSG00000000916	4317	Nsun5	NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]	4599.71014492754
ENSMUSG00000000934	2043	Top1mt	DNA topoisomerase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1920210]	8767.34601449275
ENSMUSG00000000948	5216	Gm38393	predicted gene, 38393 [Source:MGI Symbol;Acc:MGI:5613898]	3269.47101449275
ENSMUSG00000000957	5960	Mmp14	matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]	769718.302536232
ENSMUSG00000000958	3315	Slc7a7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]	468.114130434783
ENSMUSG00000000959	4457	Oxa1l	oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]	17340.3315217391
ENSMUSG00000000976	6419	Heatr6	HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]	15473.2880434783
ENSMUSG00000000982	766	Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	3954.25362318841
ENSMUSG00000001016	8580	Ilf2	interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]	41000.3405797101
ENSMUSG00000001017	3637	Chtop	chromatin target of PRMT1 [Source:MGI Symbol;Acc:MGI:1913761]	78982.3460144928
ENSMUSG00000001018	2290	Snapin	SNAP-associated protein [Source:MGI Symbol;Acc:MGI:1333745]	12343.7971014493
ENSMUSG00000001020	584	S100a4	S100 calcium binding protein A4 [Source:MGI Symbol;Acc:MGI:1330282]	31802.8405797101
ENSMUSG00000001021	2670	S100a3	S100 calcium binding protein A3 [Source:MGI Symbol;Acc:MGI:1338849]	86.5054347826087
ENSMUSG00000001025	1367	S100a6	S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]	17942723.5199275
ENSMUSG00000001027	7041	Scn4a	sodium channel, voltage-gated, type IV, alpha [Source:MGI Symbol;Acc:MGI:98250]	269.853260869565
ENSMUSG00000001034	4394	Mapk7	mitogen-activated protein kinase 7 [Source:MGI Symbol;Acc:MGI:1346347]	16790.2608695652
ENSMUSG00000001036	5228	Epn2	epsin 2 [Source:MGI Symbol;Acc:MGI:1333766]	106815.824275362
ENSMUSG00000001039	1593	B9d1	B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]	1634.78260869565
ENSMUSG00000001052	6020	Sec24b	Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]	199068.579710145
ENSMUSG00000001053	2728	N4bp3	NEDD4 binding protein 3 [Source:MGI Symbol;Acc:MGI:2442218]	4215.5
ENSMUSG00000001054	2161	Rmnd5b	required for meiotic nuclear division 5 homolog B [Source:MGI Symbol;Acc:MGI:1913339]	5949.38949275362
ENSMUSG00000001056	1146	Nhp2	NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]	59445.9710144928
ENSMUSG00000001062	5153	Vps9d1	VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143]	6121.73913043478
ENSMUSG00000001065	5530	Zfp276	zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495]	7955.30253623188
ENSMUSG00000001082	2894	Mfsd10	major facilitator superfamily domain containing 10 [Source:MGI Symbol;Acc:MGI:1915544]	20328.6938405797
ENSMUSG00000001089	8112	Luzp1	leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629]	434973.21557971
ENSMUSG00000001095	2412	Slc13a2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1276558]	20.7373188405797
ENSMUSG00000001098	4039	Kctd10	potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207]	307078.34057971
ENSMUSG00000001100	3783	Poldip2	polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]	38055.2101449275
ENSMUSG00000001103	1359	Sebox	SEBOX homeobox [Source:MGI Symbol;Acc:MGI:108012]	551.824275362319
ENSMUSG00000001105	1525	Ift20	intraflagellar transport 20 [Source:MGI Symbol;Acc:MGI:1915585]	13322.6666666667
ENSMUSG00000001119	4380	Col6a1	collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]	260207.384057971
ENSMUSG00000001120	2933	Pcbp3	poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]	293364.867753623
ENSMUSG00000001123	2137	Lgals9	lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]	22988.5199275362
ENSMUSG00000001127	6541	Araf	Araf proto-oncogene, serine/threonine kinase [Source:MGI Symbol;Acc:MGI:88065]	78176.4329710145
ENSMUSG00000001128	1736	Cfp	complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]	10659.5652173913
ENSMUSG00000001131	888	Timp1	tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]	2024461.73188406
ENSMUSG00000001134	1639	Uxt	ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]	558.244565217391
ENSMUSG00000001138	6420	Cnnm3	cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]	7603.9981884058
ENSMUSG00000001143	7359	Lman2l	lectin, mannose-binding 2-like [Source:MGI Symbol;Acc:MGI:2443010]	14350.5217391304
ENSMUSG00000001150	7197	Mcm3ap	minichromosome maintenance complex component 3 associated protein [Source:MGI Symbol;Acc:MGI:1930089]	134286.172101449
ENSMUSG00000001151	12154	Pcnt	pericentrin (kendrin) [Source:MGI Symbol;Acc:MGI:102722]	476271.432971014
ENSMUSG00000001156	7072	Mxd1	MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908]	85378.0706521739
ENSMUSG00000001157	6493	Gmcl1	germ cell-less, spermatogenesis associated 1 [Source:MGI Symbol;Acc:MGI:1345156]	4876.77536231884
ENSMUSG00000001158	1837	Snrnp27	small nuclear ribonucleoprotein 27 (U4/U6.U5) [Source:MGI Symbol;Acc:MGI:1913868]	35249.6793478261
ENSMUSG00000001166	2405	Oas1c	2'-5' oligoadenylate synthetase 1C [Source:MGI Symbol;Acc:MGI:2149633]	114.389492753623
ENSMUSG00000001173	9486	Ocrl	OCRL, inositol polyphosphate-5-phosphatase [Source:MGI Symbol;Acc:MGI:109589]	69577.5054347826
ENSMUSG00000001175	4706	Calm1	calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251]	3700170.51449275
ENSMUSG00000001211	7790	Agpat3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1336186]	1254595.95471015
ENSMUSG00000001227	3968	Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]	2012.4347826087
ENSMUSG00000001228	4259	Uhrf1	ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]	552888.405797101
ENSMUSG00000001229	7883	Dpp9	dipeptidylpeptidase 9 [Source:MGI Symbol;Acc:MGI:2443967]	52504.7373188406
ENSMUSG00000001240	3301	Ramp2	receptor (calcitonin) activity modifying protein 2 [Source:MGI Symbol;Acc:MGI:1859650]	452.231884057971
ENSMUSG00000001247	2172	Lsr	lipolysis stimulated lipoprotein receptor [Source:MGI Symbol;Acc:MGI:1927471]	5666.08514492754
ENSMUSG00000001248	5239	Gramd1a	GRAM domain containing 1A [Source:MGI Symbol;Acc:MGI:105490]	59731.9927536232
ENSMUSG00000001249	4101	Hpn	hepsin [Source:MGI Symbol;Acc:MGI:1196620]	58.231884057971
ENSMUSG00000001260	7869	Gabrg1	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1 [Source:MGI Symbol;Acc:MGI:103156]	34.3894927536232
ENSMUSG00000001270	2895	Ckb	creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]	795948.940217391
ENSMUSG00000001280	8262	Sp1	trans-acting transcription factor 1 [Source:MGI Symbol;Acc:MGI:98372]	189368.346014493
ENSMUSG00000001281	2770	Itgb7	integrin beta 7 [Source:MGI Symbol;Acc:MGI:96616]	140.766304347826
ENSMUSG00000001285	2823	Myg1	melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864]	5432.82427536232
ENSMUSG00000001288	4261	Rarg	retinoic acid receptor, gamma [Source:MGI Symbol;Acc:MGI:97858]	40684.9402173913
ENSMUSG00000001289	1394	Pfdn5	prefoldin 5 [Source:MGI Symbol;Acc:MGI:1928753]	99098.1666666667
ENSMUSG00000001300	6855	Efnb2	ephrin B2 [Source:MGI Symbol;Acc:MGI:105097]	841571.070652174
ENSMUSG00000001305	3239	Rrp15	ribosomal RNA processing 15 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914473]	30256.606884058
ENSMUSG00000001313	1990	Rnd2	Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]	2208.28804347826
ENSMUSG00000001323	4560	Srr	serine racemase [Source:MGI Symbol;Acc:MGI:1351636]	36379.4130434783
ENSMUSG00000001333	2862	Sync	syncoilin [Source:MGI Symbol;Acc:MGI:1916078]	47647.1576086957
ENSMUSG00000001334	2763	Fndc5	fibronectin type III domain containing 5 [Source:MGI Symbol;Acc:MGI:1917614]	624.253623188406
ENSMUSG00000001348	2030	Acp5	acid phosphatase 5, tartrate resistant [Source:MGI Symbol;Acc:MGI:87883]	3638.6884057971
ENSMUSG00000001349	2736	Cnn1	calponin 1 [Source:MGI Symbol;Acc:MGI:104979]	371.652173913043
ENSMUSG00000001366	3103	Fbxo9	f-box protein 9 [Source:MGI Symbol;Acc:MGI:1918788]	24281.0652173913
ENSMUSG00000001376	10856	Vps50	VPS50 EARP/GARPII complex subunit [Source:MGI Symbol;Acc:MGI:1920538]	12994.0579710145
ENSMUSG00000001380	2447	Hars	histidyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:108087]	85778.9112318841
ENSMUSG00000001383	2592	Zmat2	zinc finger, matrin type 2 [Source:MGI Symbol;Acc:MGI:1913742]	442268.867753623
ENSMUSG00000001403	2600	Ube2c	ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]	28690.6938405797
ENSMUSG00000001415	6956	Smg5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:MGI Symbol;Acc:MGI:2447364]	98982.6884057971
ENSMUSG00000001416	6370	Cct3	chaperonin containing Tcp1, subunit 3 (gamma) [Source:MGI Symbol;Acc:MGI:104708]	515628.891304348
ENSMUSG00000001418	6291	Glmp	glycosylated lysosomal membrane protein [Source:MGI Symbol;Acc:MGI:1913318]	78320.8405797101
ENSMUSG00000001419	5985	Mef2d	myocyte enhancer factor 2D [Source:MGI Symbol;Acc:MGI:99533]	361111.998188406
ENSMUSG00000001420	2912	Tmem79	transmembrane protein 79 [Source:MGI Symbol;Acc:MGI:1919163]	34.3695652173913
ENSMUSG00000001424	9757	Snd1	staphylococcal nuclease and tudor domain containing 1 [Source:MGI Symbol;Acc:MGI:1929266]	443486.84057971
